Subject ID,Player Name,Group,Time from TOA (months),Chronological Age,Height (cm),Sitting Height (cm),Leg Length (cm),Weight (kg),TOA Age,TOA Height,PHVA Age,PHVA Height,FHA Age,FHA Height,Maturity Offset,Growth Tempo,Father's Height (cm),Mother's Height (cm),Predicted Adult Height (cm),A,B,C,D,% Pred Adult Height,Bio Band
Early_1,Liam Sanchez,Early,0,8.83,131.57,67.10,64.47,33.76,8.83,131.57,13.56,165.34,16.56,171.69,-4.73,5.19,186,164.4,186.76,-11.12,1.07,-0.00463,0.43,0.70,Pre-Pubertal
Early_1,Liam Sanchez,Early,3,9.08,132.87,68.24,65.45,34.37,8.83,131.57,13.62,163.18,16.62,154.94,-4.54,3.00,186,164.4,182.99,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_1,Liam Sanchez,Early,6,9.33,133.62,68.48,66.18,35.13,8.83,131.57,13.75,163.98,16.75,164.52,-4.42,4.16,186,164.4,183.74,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_1,Liam Sanchez,Early,9,9.58,134.66,70.12,67.55,35.59,8.83,131.57,13.76,164.65,16.76,160.42,-4.18,3.64,186,164.4,184.79,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_1,Liam Sanchez,Early,12,9.83,135.57,70.94,68.95,36.39,8.83,131.57,13.83,165.40,16.83,153.33,-4.00,2.72,186,164.4,185.70,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_1,Liam Sanchez,Early,15,10.08,136.25,72.01,69.7,37.91,8.83,131.57,13.88,162.96,16.88,154.11,-3.80,2.80,186,164.4,181.60,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_1,Liam Sanchez,Early,18,10.33,136.95,72.87,70.99,39.3,8.83,131.57,13.95,163.48,16.95,154.30,-3.62,2.80,186,164.4,182.20,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_1,Liam Sanchez,Early,21,10.58,137.65,73.61,72.53,38.87,8.83,131.57,14.02,164.06,17.02,154.50,-3.44,2.80,186,164.4,182.83,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_1,Liam Sanchez,Early,24,10.83,138.35,74.32,73,40.23,8.83,131.57,14.10,164.61,17.10,154.72,-3.27,2.80,186,164.4,183.43,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_1,Liam Sanchez,Early,27,11.08,139.05,75.93,74.48,40.83,8.83,131.57,14.08,162.03,17.08,154.67,-3.00,2.80,186,164.4,179.44,-10.01,0.74,-0.00242,0.58,0.77,Pre-Pubertal
